"'116.921016666666666666666666666666666667,39.6629166666666666666666666666666666667'",'天津大沙河','天津武清大沙河批发市场','265','http://www.tjdsh.com'
"'115.6205620000,34.4494610000'",'商丘农产品','河南商丘市农产品中心批发市场','38','http://'
"'111.1051140000,34.7146520000'",'三门峡原店','三门峡金河农产品批发交易中心','0','http://'
'null','鲁滕州级索','山东滕州市级索蔬菜基地远征蔬菜批发市场','39','null'
'null','山东临滋','山东淄博临淄于家蔬菜中心批发市场','0','null'
'null','山东平原','山东平原王凤楼批发市场','0','null'
'null','山东安丘','山东安丘市姜蒜菜批发市场','0','null'
"'118.0429,36.779'",'山东淄博鲁中','山东淄博市鲁中蔬菜批发市场','0','http://'
'null','山东新泰','山东新泰市蔬菜果品批发市场','46','null'
"'115.379033333333333333333333333333333333,36.4381888888888888888888888888888888889'",'鲁冠县社庄','山东冠县社庄江北第一蔬菜批发市场','0','http://'
'null','山东郯城','山东郯城县红花蔬菜批发市场','0','null'
'null','青岛广饶','山东青岛广饶大王菜果批发市场','0','null'
"'117.12512777,35.1130055555'",'滕州农副产品','滕州市农副产品物流中心有限公司','0','http://'
'null','山东单县','山东单县西郊蔬菜批发市场','64','null'
'null','鲁苍山蔬菜','山东苍山县鲁南蔬菜批发市场','0','null'
'null','平原王杲铺','山东平原王杲铺蔬菜批发市场','0','null'
'null','山东莘县','山东莘县无公害农产品批发市场','0','null'
"'116.89472222222,37.649947222'",'山东宁津','山东宁津县东崔蔬菜批发市场','0','http://'
'null','鲁淄博果品','山东淄博市鲁中果品批发市场','7','null'
'null','山东邹平','山东邹平县九户镇蔬菜批发市场','0','null'
"'120.14138,36.50545'",'鲁青岛南村','山东青岛平度市南村蔬菜批发市场','0','http://'
"'116.877975,37.0729694444444444444444444444444444444'",'山东临邑','山东临邑县临南蔬菜大市场','0','http://'
'null','鲁胶州蔬菜','山东胶州市蔬菜批发市场','0','null'
'null','河南汝南','河南汝南县三门闸蔬菜批发市场','0','null'
'null','河南扶沟','河南扶沟县蔬菜批发市场','0','null'
'null','河南驴行家','河南沁阳市豫北黄牛毛驴交易大市场','0','null'
'null','豫钜桥瓜菜','河南鹤壁市浚县钜桥镇瓜果蔬菜批发交易市场','0','null'
'null','湘邵阳江北','湖南邵阳市江北农产品大市场','0','http://'
'null','湖南湘潭','湖南湘潭市金海水果批发大市场','0','null'
'null','广东湛江','广东湛江产地蔬菜批发市场','0','null'
'null','广东汕尾','广东汕尾市城区水产品批发市场','0','null'
'null','广东普宁','广东普宁市洪阳镇水果专业市场','0','null'
'null','粤沙扒水产','广东阳西县沙扒水产品批发市场','0','null'
'null','琼乐东大地','海南乐东大地农产品批发市场','0','null'
"'106.9325416,23.753738'",'广西田阳','广西田阳农副产品综合批发市场','0','http://'
'null','皖濉溪蔬菜','安徽濉溪县城南蔬菜批发市场','0','null'
'null','皖滁州凤凰','安徽滁州市凤凰农贸大市场','0','null'
'null','皖五松市场','安徽铜陵五松瓜果综合批发市场','0','null'
'null','无为水产品','安徽无为水产品批发市场','0','null'
'null','淮南人民路','安徽淮南市农副产品批发市场','0','null'
'null','江苏沛县','江苏沛县产地蔬菜批发市场','0','null'
'null','江苏涟水','江苏涟水县城中蔬菜批发市场','0','http://'
"'116.601944444444444444444444444444444444,34.6919444444444444444444444444444444444'",'江苏丰县','江苏丰县农业委员会','0','http://'
'null','江苏铜山','江苏铜山农产品批发市场','40','null'
'null','苏海安禽蛋','江苏海安县多种经营管理局','0','null'
'null','江苏宿迁','江苏宿迁南蔡市蔬菜批发市场','0','null'
'null','江苏连云港','江苏连云港农副产品批发市场有限公司','0','null'
'null','江苏古河','江苏盐城市阜宁古河粮油批发交易市场','0','http://'
'null','江苏苏中','江苏泰兴市苏中蔬菜批发市场','0','null'
'null','山东聊城','山东聊城农副产品蔬菜批发市场','0','null'
'null','山东东平','山东东平沙站镇瓜菜批发市场','0','null'
'null','泰安良庄','山东泰安良庄镇蔬菜批发市场','0','null'
'null','山东济宁','山东济宁市无公害蔬菜批发市场','0','null'
'null','山东肥城','山东肥城蔬菜批发市场','0','http://'
'null','广饶西营','山东东营市茂丰蔬菜批发市场','0','null'
'null','鲁七级生猪','山东青岛七级生猪批发市场','0','null'
"'120.335116666666666666666666666666666667,36.7279277777777777777777777777777777778'",'青岛东庄头','山东青岛莱西市东庄头蔬菜批发市场服务有限公司','0','http://'
'null','鲁广饶西营','山东广饶蔬菜批发市场','28','null'
'null','山东东营','山东东营市大王茂果蔬批发市场','0','null'
'null','山东莒县','山东莒县东关蔬菜批发市场','0','null'
'null','北京平谷','北京平谷县大桃市场','0','null'
'null','豫善堂双庙','河南鹤壁市浚县善堂镇双庙蔬菜批发市场','0','null'
'null','河南新乡','河南新乡市牧野区蔬菜批发大市场','0','null'
'null','豫中牟大蒜','河南郑州中牟县大蒜批发市场','0','null'
'null','豫洛阳中原','河南洛阳中原农贸城','0','null'
'null','豫西峡双龙','河南西峡双龙香菇批发市场','0','null'
'null','豫西南杂果','河南豫西南小杂果批发市场','0','null'
'null','豫淅川香花','河南淅川县香花镇香花辣椒城','0','null'
'null','荆州农贸','湖北荆州市长港路农贸市场','0','null'
"'115.042472222222222222222222222222222222,30.2462027777777777777777777777777777778'",'黄石农产品','湖北黄石农产品中心批发市场','0','http://'
"'114.9135330000,30.4275860000'",'鄂黄商集团','湖北黄商集团股份有限公司（黄商三利农产品有限责任公司）','0','http://www.hsjt1983.com'
'null','鄂安陆富丽','湖北安陆市富丽农产品批发市场','0','null'
"'112.9002091292,30.4221611599'",'四季友农贸城','潜江市四季友农产品市场有限公司','0','http://'
'null','鄂荆州监利','湖北荆州监利天府庙大市场','30','null'
"'111.713475,29.01822777'",'常德甘露寺','湖南常德甘露寺蔬菜批发市场','0','http://'
'null','湖南宁乡','湖南宁乡沙河市场','31','null'
'null','湖南慈利','湖南慈利县大世界市场管理站','0','null'
'null','广西灵山','广西灵山农副产品综合批发市场','0','null'
'null','广西武鸣','广西武鸣标营果菜批发市场','0','null'
"'105.4352305,28.8806777'",'川泸州仔猪','四川省泸州市仔猪批发市场(泸州市农业局)','0','http://'
'null','川隆昌禽苗','四川隆昌县禽苗市场','3','null'
'null','川武胜仔猪','四川武胜县仔猪批发市场','0','null'
"'102.67486,26.73149'",'川会东牲畜','四川省凉山州会东县堵格牲畜市场经营有限责任公司','0','http://'
"'102.637905555555555555555555555555555556,29.3442833333333333333333333333333333333'",'川九襄市场','四川雅安市汉源县九襄农产品批发市场','7','http://'
'null','重庆南岸','重庆南坪农副产品批发市场','25','null'
'null','重庆双桂','重庆市梁平县双桂农产品批发市场','0','null'
'null','三峡蔬菜','重庆三峡蔬菜（农副土特产品）批发市场','0','null'
'null','川广汉禽苗','四川德阳市广汉禽苗产地专业批发市场','0','null'
'null','川北家禽','四川南充市高坪区川北家禽批发市场','0','null'
"'104.6886083333,31.56114722'",'川绵阳高水','绵阳市高水农副产品批发有限公司','0','http://www.mygssc.cn/'
'null','川唐昌蔬菜','四川郫县唐昌镇蔬菜批发市场','35','null'
'null','鲁胶州沙梁','山东胶州市沙梁蔬菜经营中心','0','null'
"'115.8009,33.7780'",'安徽亳州','安徽亳州农产品有限责任公司','0','http://'
"'116.946058,31.4506'",'安徽舒城','安徽舒城蔬菜批发市场','32','http://'
'null','安徽蚌埠','安徽蚌埠海吉星农产品物流有限公司','0','http://'
'null','安徽安庆','安徽安庆市龙狮桥蔬菜批发市场','0','http://'
'null','安徽宣州','安徽宣城市宣州中心菜市场','26','null'
'null','皖宣州畜禽','安徽宣州畜禽批发市场','0','null'
'null','安徽东至','安徽东至农副产品批发市场','0','null'
'null','皖北蔬菜','安徽宿州皖北蔬菜批发市场','0','null'
'null','安徽马鞍山','安徽马鞍山市蔬菜副食品批发交易市场','0','null'
"'108.90699,27.23863'",'贵州玉屏','贵州铜仁玉屏牲畜产地批发市场','0','http://'
'null','黔东农产品','贵州黔东南州榕江县农产品批发市场','2','null'
'null','贵黔东精米','贵州黔东南州丹寨硒精米批发市场','0','null'
'null','黔安顺肉牛','贵州安顺市肉牛综合交易市场','0','null'
"'102.79665278,24.8898083'",'昆明呈贡','云南昆明呈贡龙城农产品经营股份有限公司','0','http://'
"'102.715741666666666666666666666666666667,24.1230305555555555555555555555555555556'",'云南通海','云南通海金山蔬菜批发市场','45','http://'
'null','云南滇西','云南大理州弥渡县滇西蔬菜批发市场','0','null'
'null','云南师宗','云南师宗县农产品批发市场','0','null'
'null','云南寻甸','云南昆明市寻甸县畜产品批发市场','0','null'
'null','云南宣威','云南宣威市马铃薯交易市场','0','null'
'null','云南保山','云南保山市优质农产品批发市场','0','null'
'null','云南滇中','云南玉溪市峨山县滇中畜山货交易市场','0','null'
"'108.808225,34.63'",'陕西云阳','陕西泾云现代农业股份有限公司云阳蔬菜批发市场','0','http://'
'null','陕西甘泉','陕西延安市甘泉县蔬菜批发市场','25','null'
'null','宝鸡果蔬','陕西宝鸡市人民街果蔬批发市场','0','null'
"'103.78105,35.608875'",'甘肃腾胜','甘肃腾胜农产品集团','0','http://'
'null','甘肃秦安','甘肃秦安县北大果品市场','0','http://'
'null','甘敦煌鸣山','甘肃敦煌市杨鸣山果蔬批发市场','0','null'
'null','金张掖巷道','甘肃张掖市高台巷道农产品批发市场','0','null'
"'105.688347222222222222222222222222222222,34.5722416666666666666666666666666666667'",'甘天水瀛池','甘肃天水市瀛池果菜批发市场','0','http://'
"'104.887975,34.722725'",'甘武山蔬菜','甘肃武山县蔬菜事业管理局','29','http://'
'null','甘永登大同','甘肃永登县大同蔬菜批发市场','29','null'
'null','甘武威凉州','甘肃武威市凉州区西城区蔬菜瓜果批发市场','0','null'
'null','信息中心','宁夏平罗县信息中心','0','null'
'null','宁夏中卫','宁夏中卫县宣和禽蛋专业批发市场','0','null'
'null','宁夏中宁','宁夏中宁县枸杞产地批发市场','0','null'
'null','宁夏涝河桥','宁夏灵武涝河桥清真牛羊肉批发市场','0','null'
'null','青海乐都','青海乐都县农乐贸易市场','0','null'
'null','新疆昌吉','新疆昌吉市亚中农副产品批发市场','0','null'
'null','新疆托里','新疆精河县托里枸杞市场','0','null'
'null','吐鲁番市场','新疆吐鲁番市盛达商贸有限公司干鲜果蔬批发市场','0','http://'
'null','新黎明农贸','新疆塔城市黎明农贸综合市场','0','null'
'null','新疆哈密','新疆哈密市丰盛农副产品综合批发市场','0','null'
'null','新疆喀什','新疆喀什地区英吉沙农产品交易市场','0','null'
'null','新疏附农产','新疆喀什疏附县现代农副产品批发市场','0','null'
'null','新疆伽师瓜','新疆伽师县伽师瓜产地批发市场','0','null'
'null','新疆叶城','新疆叶城县新世纪商贸中心','0','null'
'null','新疆红辣椒','新疆兵团农二师21团币制干红辣椒批发市场','0','null'
"'81.041791,43.94588'",'伊犁66团','新疆兵团农四师界梁子66团农贸市场','0','http://'
"'86.055111,44.3156'",'新疆绿珠九鼎','新疆绿珠九鼎农产品经营管理有限公司','60','http://'
"'130.2564,47.33185'",'鹤岗万圃源','黑龙江鹤岗市万圃源蔬菜有限责任公司','0','http://www.wanpuyuan.cn'
'null','石狮水产品','福建石狮水产品批发市场','44','null'
"'104.802230555555555555555555555555555556,31.81025'",'川江油仔猪','四川省江油仔猪批发市场','0','http://'
'null','陕西宝鸡','陕西宝鸡市名优农产品展销中心','9','null'
'null','苏兴化粮食','江苏泰州市兴化粮食交易市场','0','null'
'null','山东青州','山东青州市高柳蔬菜批发市场','0','null'
'null','鲁滨州海蜇','山东滨州市沾化县冯家镇尔庄海蜇批发市场','0','null'
'null','新疆北屯','新疆兵团农十师北屯军垦农产品交易市场','0','null'
'null','海拉尔新桥','呼伦贝尔市海拉尔区胜利农工商联合公司新桥市场','0','null'
"'104.693086111111111111111111111111111111,34.9474833333333333333333333333333333333'",'陇西清吉','陇西县清吉洋芋批发交易市场有限责任公司','0','http://www.qingjijituan.com.cn'
"'106.9304,30.33461'",'川广安邻水','四川广安市邻水县农产品交易中心','28','http://'
"'116.5845,34.3914'",'惠丰批发市场','安徽砀山农产品中心惠丰批发市场','50','http://'
"'119.851238888888888888888888888888888889,33.4467472222222222222222222222222222222'",'苏建湖水产','江苏省建湖县水产批发市场','58','http://'
'null','鄂两湖平原','湖北荆州两湖平原农产品交易物流中心','8','null'
'null','苏高淳水产','江苏省高淳县水产批发市场有限公司','0','null'
'null','大运菜市场','山西省朔州大运果菜批发市场','0','http://'
"'101.8433833,25.7370305'",'云南元谋','云南元谋县蔬菜交易市场有限责任公司','0','http://'
'null','丰碑合作社','四川彭州市三界丰碑蔬菜产销专业合作社丰碑','0','http://'
'null','市场简称','市场全称','0','http://'
"'107.886380555555555555555555555555555556,27.2302611111111111111111111111111111111'",'遵义金土地','遵义金土地绿色产品交易有限公司','0','http://'
'null','宁西吉将台','宁夏西吉将台马铃薯专业批发市场','24','http://'
'null','鲁南蔬菜','鲁南蔬菜产业有限公司','0','http://'
"'113.451297222222222222222222222222222222,29.8218638888888888888888888888888888889'",'鄂洪湖闽洪','湖北省洪湖市闽洪水产品批发交易市场服务有限公司','0','http://'
"'111.1825860000,34.7973750000'",'三门峡苹果','河南三门峡市苹果批发交易市场','0','http://'
'null','青海西宁牦牛藏羊','青海西宁牦牛藏羊批发市场','1','http://'
'null','舟山水产','舟山水产品中心批发市场','0','http://www.cfm.com.cn'
